TEAMNAME,PLAYED,WON
Arsenal,886,482
Aston Villa,886,313
Barnsley,38,10
Birmingham City,266,73
Blackburn Rovers,696,262
Blackpool,38,10
Bolton Wanderers,494,149
Bradford City,76,14
Burnley,76,15
Cardiff City,38,7
Charlton Athletic,304,93
Chelsea,886,474
Coventry City,354,99
Crystal Palace,236,63
Derby County,266,68
Everton,886,321
Fulham,494,150
Hull City,152,32
Ipswich Town,202,57
Leeds United,468,189
Leicester City,346,95
Liverpool,886,440
Manchester City,696,285
Manchester United,886,567
Middlesbrough,536,160
Newcastle United,806,313
Norwich City,278,80
Nottingham Forest,198,60
Oldham Athletic,84,22
Portsmouth,266,79
Queens Park Rangers,278,81
Reading,114,32
Sheffield United,122,32
Sheffield Wednesday,316,101
Southampton,620,192
Stoke City,266,84
Sunderland,532,138
Swansea City,152,50
Swindon Town,42,5
Tottenham Hotspur,886,355
Watford,76,11
West Bromwich Albion,342,84
West Ham United,730,237
Wigan Athletic,304,85
Wimbledon,316,99
Wolverhampton Wanderers,152,32
